"Plot Title: 10761879"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10761879, SEN S/N: 10761879, LBL: Temperature Tank1)","Coupler Attached (LGR S/N: 10761879)","Coupler Detached (LGR S/N: 10761879)","Host Connected (LGR S/N: 10761879)","Stopped (LGR S/N: 10761879)","End Of File (LGR S/N: 10761879)"
117,07/14/15 03:40:00 AM,22.525,,,,,
118,07/14/15 03:45:00 AM,22.621,,,,,
119,07/14/15 03:50:00 AM,22.621,,,,,
120,07/14/15 03:55:00 AM,22.525,,,,,
121,07/14/15 04:00:00 AM,22.621,,,,,
122,07/14/15 04:05:00 AM,22.621,,,,,
123,07/14/15 04:10:00 AM,22.621,,,,,
124,07/14/15 04:15:00 AM,22.621,,,,,
125,07/14/15 04:20:00 AM,22.621,,,,,
126,07/14/15 04:25:00 AM,22.621,,,,,
127,07/14/15 04:30:00 AM,22.621,,,,,
128,07/14/15 04:35:00 AM,22.621,,,,,
129,07/14/15 04:40:00 AM,22.621,,,,,
130,07/14/15 04:45:00 AM,22.621,,,,,
131,07/14/15 04:50:00 AM,22.621,,,,,
132,07/14/15 04:55:00 AM,22.621,,,,,
133,07/14/15 05:00:00 AM,22.621,,,,,
134,07/14/15 05:05:00 AM,22.621,,,,,
135,07/14/15 05:10:00 AM,22.621,,,,,
136,07/14/15 05:15:00 AM,22.621,,,,,
137,07/14/15 05:20:00 AM,22.621,,,,,
138,07/14/15 05:25:00 AM,22.621,,,,,
139,07/14/15 05:30:00 AM,22.621,,,,,
140,07/14/15 05:35:00 AM,22.621,,,,,
141,07/14/15 05:40:00 AM,22.621,,,,,
142,07/14/15 05:45:00 AM,22.621,,,,,
143,07/14/15 05:50:00 AM,22.621,,,,,
144,07/14/15 05:55:00 AM,22.621,,,,,
145,07/14/15 06:00:00 AM,22.621,,,,,
146,07/14/15 06:05:00 AM,22.621,,,,,
147,07/14/15 06:10:00 AM,22.621,,,,,
148,07/14/15 06:15:00 AM,22.621,,,,,
149,07/14/15 06:20:00 AM,22.621,,,,,
150,07/14/15 06:25:00 AM,22.621,,,,,
151,07/14/15 06:30:00 AM,22.621,,,,,
152,07/14/15 06:35:00 AM,22.621,,,,,
153,07/14/15 06:40:00 AM,22.621,,,,,
154,07/14/15 06:45:00 AM,22.621,,,,,
155,07/14/15 06:50:00 AM,22.621,,,,,
156,07/14/15 06:55:00 AM,22.621,,,,,
157,07/14/15 07:00:00 AM,22.525,,,,,
