"Plot Title: 10761874"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10761874, SEN S/N: 10761874, LBL: Temperature Tank6)","Coupler Attached (LGR S/N: 10761874)","Host Connected (LGR S/N: 10761874)","Stopped (LGR S/N: 10761874)","End Of File (LGR S/N: 10761874)"
122,07/14/15 03:05:00 AM,22.429,,,,
123,07/14/15 03:10:00 AM,22.429,,,,
124,07/14/15 03:15:00 AM,22.429,,,,
125,07/14/15 03:20:00 AM,22.429,,,,
126,07/14/15 03:25:00 AM,22.429,,,,
127,07/14/15 03:30:00 AM,22.429,,,,
128,07/14/15 03:35:00 AM,22.429,,,,
129,07/14/15 03:40:00 AM,22.429,,,,
130,07/14/15 03:45:00 AM,22.429,,,,
131,07/14/15 03:50:00 AM,22.429,,,,
132,07/14/15 03:55:00 AM,22.429,,,,
133,07/14/15 04:00:00 AM,22.429,,,,
134,07/14/15 04:05:00 AM,22.429,,,,
135,07/14/15 04:10:00 AM,22.429,,,,
136,07/14/15 04:15:00 AM,22.429,,,,
137,07/14/15 04:20:00 AM,22.429,,,,
138,07/14/15 04:25:00 AM,22.429,,,,
139,07/14/15 04:30:00 AM,22.429,,,,
140,07/14/15 04:35:00 AM,22.429,,,,
141,07/14/15 04:40:00 AM,22.429,,,,
142,07/14/15 04:45:00 AM,22.429,,,,
143,07/14/15 04:50:00 AM,22.429,,,,
144,07/14/15 04:55:00 AM,22.429,,,,
145,07/14/15 05:00:00 AM,22.429,,,,
146,07/14/15 05:05:00 AM,22.429,,,,
147,07/14/15 05:10:00 AM,22.429,,,,
148,07/14/15 05:15:00 AM,22.429,,,,
149,07/14/15 05:20:00 AM,22.429,,,,
150,07/14/15 05:25:00 AM,22.429,,,,
151,07/14/15 05:30:00 AM,22.429,,,,
152,07/14/15 05:35:00 AM,22.429,,,,
153,07/14/15 05:40:00 AM,22.429,,,,
154,07/14/15 05:45:00 AM,22.429,,,,
155,07/14/15 05:50:00 AM,22.429,,,,
156,07/14/15 05:55:00 AM,22.429,,,,
157,07/14/15 06:00:00 AM,22.429,,,,
158,07/14/15 06:05:00 AM,22.429,,,,
159,07/14/15 06:10:00 AM,22.429,,,,
160,07/14/15 06:15:00 AM,22.429,,,,
161,07/14/15 06:20:00 AM,22.429,,,,
162,07/14/15 06:25:00 AM,22.429,,,,
163,07/14/15 06:30:00 AM,22.429,,,,
164,07/14/15 06:35:00 AM,22.429,,,,
165,07/14/15 06:40:00 AM,22.429,,,,
166,07/14/15 06:45:00 AM,22.429,,,,
167,07/14/15 06:50:00 AM,22.429,,,,
168,07/14/15 06:55:00 AM,22.429,,,,
169,07/14/15 07:00:00 AM,22.429,,,,
170,07/14/15 07:05:00 AM,22.429,,,,
171,07/14/15 07:10:00 AM,22.429,,,,
172,07/14/15 07:15:00 AM,22.429,,,,
173,07/14/15 07:20:00 AM,22.429,,,,
174,07/14/15 07:25:00 AM,22.429,,,,
175,07/14/15 07:30:00 AM,22.429,,,,
176,07/14/15 07:35:00 AM,22.429,,,,
177,07/14/15 07:40:00 AM,22.429,,,,
178,07/14/15 07:45:00 AM,22.429,,,,
179,07/14/15 07:50:00 AM,22.429,,,,
180,07/14/15 07:55:00 AM,22.429,,,,
181,07/14/15 08:00:00 AM,22.429,,,,
182,07/14/15 08:05:00 AM,22.429,,,,
183,07/14/15 08:10:00 AM,22.429,,,,
184,07/14/15 08:15:00 AM,22.333,,,,
185,07/14/15 08:20:00 AM,22.333,,,,
186,07/14/15 08:25:00 AM,22.333,,,,
187,07/14/15 08:30:00 AM,22.333,,,,
188,07/14/15 08:35:00 AM,22.333,,,,
189,07/14/15 08:40:00 AM,22.333,,,,
190,07/14/15 08:45:00 AM,22.333,,,,
191,07/14/15 08:50:00 AM,22.333,,,,
192,07/14/15 08:55:00 AM,22.333,,,,
193,07/14/15 09:00:00 AM,22.333,,,,
194,07/14/15 09:05:00 AM,22.333,,,,
195,07/14/15 09:10:00 AM,22.333,,,,
196,07/14/15 09:15:00 AM,22.333,,,,
197,07/14/15 09:20:00 AM,22.333,,,,
198,07/14/15 09:25:00 AM,22.333,,,,
199,07/14/15 09:30:00 AM,22.333,,,,
200,07/14/15 09:35:00 AM,22.333,,,,
201,07/14/15 09:40:00 AM,22.333,,,,
202,07/14/15 09:45:00 AM,22.333,,,,
203,07/14/15 09:50:00 AM,22.333,,,,
204,07/14/15 09:55:00 AM,22.333,,,,
205,07/14/15 10:00:00 AM,22.333,,,,
206,07/14/15 10:05:00 AM,22.333,,,,
207,07/14/15 10:10:00 AM,22.238,,,,
208,07/14/15 10:15:00 AM,22.238,,,,
209,07/14/15 10:20:00 AM,22.238,,,,
210,07/14/15 10:25:00 AM,22.238,,,,
211,07/14/15 10:30:00 AM,22.238,,,,
212,07/14/15 10:35:00 AM,22.238,,,,
213,07/14/15 10:40:00 AM,22.238,,,,
214,07/14/15 10:45:00 AM,22.238,,,,
215,07/14/15 10:50:00 AM,22.238,,,,
216,07/14/15 10:55:00 AM,22.238,,,,
217,07/14/15 11:00:00 AM,22.238,,,,
218,07/14/15 11:05:00 AM,22.142,,,,
219,07/14/15 11:10:00 AM,22.142,,,,
220,07/14/15 11:15:00 AM,22.142,,,,
221,07/14/15 11:20:00 AM,22.142,,,,
222,07/14/15 11:25:00 AM,22.142,,,,
223,07/14/15 11:30:00 AM,22.142,,,,
224,07/14/15 11:35:00 AM,22.142,,,,
225,07/14/15 11:40:00 AM,22.142,,,,
226,07/14/15 11:45:00 AM,22.142,,,,
227,07/14/15 11:50:00 AM,22.142,,,,
228,07/14/15 11:55:00 AM,22.142,,,,
229,07/14/15 12:00:00 PM,22.142,,,,
230,07/14/15 12:05:00 PM,22.142,,,,
231,07/14/15 12:10:00 PM,22.142,,,,
232,07/14/15 12:15:00 PM,22.142,,,,
233,07/14/15 12:20:00 PM,22.142,,,,
234,07/14/15 12:25:00 PM,22.142,,,,
235,07/14/15 12:30:00 PM,22.046,,,,
236,07/14/15 12:35:00 PM,22.046,,,,
237,07/14/15 12:40:00 PM,22.046,,,,
238,07/14/15 12:45:00 PM,22.046,,,,
239,07/14/15 12:50:00 PM,22.046,,,,
240,07/14/15 12:55:00 PM,22.142,,,,
241,07/14/15 01:00:00 PM,22.142,,,,
242,07/14/15 01:05:00 PM,22.142,,,,
243,07/14/15 01:10:00 PM,22.142,,,,
244,07/14/15 01:15:00 PM,22.142,,,,
245,07/14/15 01:20:00 PM,22.142,,,,
246,07/14/15 01:25:00 PM,22.142,,,,
247,07/14/15 01:30:00 PM,22.142,,,,
248,07/14/15 01:35:00 PM,22.142,,,,
249,07/14/15 01:40:00 PM,22.142,,,,
250,07/14/15 01:45:00 PM,22.142,,,,
251,07/14/15 01:50:00 PM,22.142,,,,
252,07/14/15 01:55:00 PM,22.142,,,,
253,07/14/15 02:00:00 PM,22.142,,,,
254,07/14/15 02:05:00 PM,22.142,,,,
255,07/14/15 02:10:00 PM,22.142,,,,
256,07/14/15 02:15:00 PM,22.142,,,,
257,07/14/15 02:20:00 PM,22.142,,,,
258,07/14/15 02:25:00 PM,22.142,,,,
259,07/14/15 02:30:00 PM,22.142,,,,
260,07/14/15 02:35:00 PM,22.142,,,,
261,07/14/15 02:40:00 PM,22.238,,,,
262,07/14/15 02:45:00 PM,22.238,,,,
263,07/14/15 02:50:00 PM,22.238,,,,
264,07/14/15 02:55:00 PM,22.238,,,,
265,07/14/15 03:00:00 PM,22.238,,,,
266,07/14/15 03:05:00 PM,22.238,,,,
267,07/14/15 03:10:00 PM,22.238,,,,
268,07/14/15 03:15:00 PM,22.238,,,,
269,07/14/15 03:20:00 PM,22.238,,,,
270,07/14/15 03:25:00 PM,22.238,,,,
271,07/14/15 03:30:00 PM,22.238,,,,
272,07/14/15 03:35:00 PM,22.238,,,,
273,07/14/15 03:40:00 PM,22.238,,,,
274,07/14/15 03:45:00 PM,22.238,,,,
275,07/14/15 03:50:00 PM,22.333,,,,
276,07/14/15 03:55:00 PM,22.333,,,,
277,07/14/15 04:00:00 PM,22.333,,,,
278,07/14/15 04:05:00 PM,22.333,,,,
279,07/14/15 04:10:00 PM,22.333,,,,
280,07/14/15 04:15:00 PM,22.333,,,,
281,07/14/15 04:20:00 PM,22.333,,,,
282,07/14/15 04:25:00 PM,22.333,,,,
283,07/14/15 04:30:00 PM,22.333,,,,
284,07/14/15 04:35:00 PM,22.333,,,,
285,07/14/15 04:40:00 PM,22.333,,,,
286,07/14/15 04:45:00 PM,22.333,,,,
287,07/14/15 04:50:00 PM,22.333,,,,
288,07/14/15 04:55:00 PM,22.333,,,,
289,07/14/15 05:00:00 PM,22.333,,,,
290,07/14/15 05:05:00 PM,22.333,,,,
291,07/14/15 05:10:00 PM,22.333,,,,
292,07/14/15 05:15:00 PM,22.429,,,,
293,07/14/15 05:20:00 PM,22.429,,,,
294,07/14/15 05:25:00 PM,22.429,,,,
295,07/14/15 05:30:00 PM,22.429,,,,
296,07/14/15 05:35:00 PM,22.429,,,,
297,07/14/15 05:40:00 PM,22.429,,,,
298,07/14/15 05:45:00 PM,22.429,,,,
299,07/14/15 05:50:00 PM,22.429,,,,
300,07/14/15 05:55:00 PM,22.429,,,,
301,07/14/15 06:00:00 PM,22.429,,,,
302,07/14/15 06:05:00 PM,22.429,,,,
303,07/14/15 06:10:00 PM,22.429,,,,
304,07/14/15 06:15:00 PM,22.429,,,,
305,07/14/15 06:20:00 PM,22.429,,,,
306,07/14/15 06:25:00 PM,22.429,,,,
307,07/14/15 06:30:00 PM,22.429,,,,
308,07/14/15 06:35:00 PM,22.429,,,,
309,07/14/15 06:40:00 PM,22.429,,,,
310,07/14/15 06:45:00 PM,22.429,,,,
311,07/14/15 06:50:00 PM,22.429,,,,
312,07/14/15 06:55:00 PM,22.429,,,,
313,07/14/15 07:00:00 PM,22.429,,,,
314,07/14/15 07:05:00 PM,22.429,,,,
315,07/14/15 07:10:00 PM,22.429,,,,
316,07/14/15 07:15:00 PM,22.429,,,,
317,07/14/15 07:20:00 PM,22.429,,,,
318,07/14/15 07:25:00 PM,22.429,,,,
319,07/14/15 07:30:00 PM,22.429,,,,
320,07/14/15 07:35:00 PM,22.429,,,,
321,07/14/15 07:40:00 PM,22.429,,,,
322,07/14/15 07:45:00 PM,22.429,,,,
323,07/14/15 07:50:00 PM,22.429,,,,
324,07/14/15 07:55:00 PM,22.429,,,,
325,07/14/15 08:00:00 PM,22.429,,,,
326,07/14/15 08:05:00 PM,22.429,,,,
327,07/14/15 08:10:00 PM,22.429,,,,
328,07/14/15 08:15:00 PM,22.429,,,,
329,07/14/15 08:20:00 PM,22.333,,,,
330,07/14/15 08:25:00 PM,22.429,,,,
331,07/14/15 08:30:00 PM,22.333,,,,
332,07/14/15 08:35:00 PM,22.333,,,,
333,07/14/15 08:40:00 PM,22.333,,,,
334,07/14/15 08:45:00 PM,22.333,,,,
335,07/14/15 08:50:00 PM,22.333,,,,
336,07/14/15 08:55:00 PM,22.333,,,,
337,07/14/15 09:00:00 PM,22.333,,,,
338,07/14/15 09:05:00 PM,22.333,,,,
339,07/14/15 09:10:00 PM,22.333,,,,
340,07/14/15 09:15:00 PM,22.333,,,,
341,07/14/15 09:20:00 PM,22.333,,,,
342,07/14/15 09:25:00 PM,22.333,,,,
343,07/14/15 09:30:00 PM,22.333,,,,
344,07/14/15 09:35:00 PM,22.333,,,,
345,07/14/15 09:40:00 PM,22.238,,,,
346,07/14/15 09:45:00 PM,22.238,,,,
347,07/14/15 09:50:00 PM,22.238,,,,
348,07/14/15 09:55:00 PM,22.238,,,,
349,07/14/15 10:00:00 PM,22.238,,,,
350,07/14/15 10:05:00 PM,22.238,,,,
351,07/14/15 10:10:00 PM,22.238,,,,
352,07/14/15 10:15:00 PM,22.238,,,,
353,07/14/15 10:20:00 PM,22.238,,,,
354,07/14/15 10:25:00 PM,22.238,,,,
355,07/14/15 10:30:00 PM,22.238,,,,
356,07/14/15 10:35:00 PM,22.238,,,,
357,07/14/15 10:40:00 PM,22.238,,,,
358,07/14/15 10:45:00 PM,22.238,,,,
359,07/14/15 10:50:00 PM,22.238,,,,
360,07/14/15 10:55:00 PM,22.238,,,,
361,07/14/15 11:00:00 PM,22.238,,,,
362,07/14/15 11:05:00 PM,22.238,,,,
363,07/14/15 11:10:00 PM,22.238,,,,
364,07/14/15 11:15:00 PM,22.142,,,,
365,07/14/15 11:20:00 PM,22.142,,,,
366,07/14/15 11:25:00 PM,22.238,,,,
367,07/14/15 11:30:00 PM,22.142,,,,
368,07/14/15 11:35:00 PM,22.142,,,,
369,07/14/15 11:40:00 PM,22.142,,,,
370,07/14/15 11:45:00 PM,22.142,,,,
371,07/14/15 11:50:00 PM,22.142,,,,
372,07/14/15 11:55:00 PM,22.142,,,,
373,07/15/15 12:00:00 AM,22.142,,,,
374,07/15/15 12:05:00 AM,22.142,,,,
375,07/15/15 12:10:00 AM,22.142,,,,
376,07/15/15 12:15:00 AM,22.142,,,,
377,07/15/15 12:20:00 AM,22.142,,,,
378,07/15/15 12:25:00 AM,22.142,,,,
379,07/15/15 12:30:00 AM,22.142,,,,
380,07/15/15 12:35:00 AM,22.142,,,,
381,07/15/15 12:40:00 AM,22.142,,,,
382,07/15/15 12:45:00 AM,22.142,,,,
383,07/15/15 12:50:00 AM,22.142,,,,
384,07/15/15 12:55:00 AM,22.142,,,,
385,07/15/15 01:00:00 AM,22.142,,,,
386,07/15/15 01:05:00 AM,22.142,,,,
387,07/15/15 01:10:00 AM,22.142,,,,
388,07/15/15 01:15:00 AM,22.142,,,,
389,07/15/15 01:20:00 AM,22.142,,,,
390,07/15/15 01:25:00 AM,22.142,,,,
391,07/15/15 01:30:00 AM,22.142,,,,
392,07/15/15 01:35:00 AM,22.142,,,,
393,07/15/15 01:40:00 AM,22.142,,,,
394,07/15/15 01:45:00 AM,22.142,,,,
395,07/15/15 01:50:00 AM,22.142,,,,
396,07/15/15 01:55:00 AM,22.142,,,,
397,07/15/15 02:00:00 AM,22.046,,,,
398,07/15/15 02:05:00 AM,22.046,,,,
399,07/15/15 02:10:00 AM,22.046,,,,
400,07/15/15 02:15:00 AM,22.046,,,,
401,07/15/15 02:20:00 AM,22.046,,,,
402,07/15/15 02:25:00 AM,22.046,,,,
403,07/15/15 02:30:00 AM,22.046,,,,
404,07/15/15 02:35:00 AM,22.046,,,,
405,07/15/15 02:40:00 AM,22.046,,,,
406,07/15/15 02:45:00 AM,22.046,,,,
407,07/15/15 02:50:00 AM,22.046,,,,
408,07/15/15 02:55:00 AM,22.046,,,,
409,07/15/15 03:00:00 AM,22.046,,,,
410,07/15/15 03:05:00 AM,22.046,,,,
411,07/15/15 03:10:00 AM,22.046,,,,
412,07/15/15 03:15:00 AM,22.046,,,,
413,07/15/15 03:20:00 AM,22.046,,,,
414,07/15/15 03:25:00 AM,22.046,,,,
415,07/15/15 03:30:00 AM,22.046,,,,
416,07/15/15 03:35:00 AM,22.046,,,,
417,07/15/15 03:40:00 AM,22.046,,,,
418,07/15/15 03:45:00 AM,22.046,,,,
419,07/15/15 03:50:00 AM,22.046,,,,
420,07/15/15 03:55:00 AM,22.046,,,,
421,07/15/15 04:00:00 AM,22.046,,,,
422,07/15/15 04:05:00 AM,22.046,,,,
423,07/15/15 04:10:00 AM,22.046,,,,
424,07/15/15 04:15:00 AM,22.046,,,,
425,07/15/15 04:20:00 AM,22.046,,,,
426,07/15/15 04:25:00 AM,22.046,,,,
427,07/15/15 04:30:00 AM,22.046,,,,
428,07/15/15 04:35:00 AM,22.046,,,,
429,07/15/15 04:40:00 AM,22.046,,,,
430,07/15/15 04:45:00 AM,22.046,,,,
431,07/15/15 04:50:00 AM,22.046,,,,
432,07/15/15 04:55:00 AM,22.046,,,,
433,07/15/15 05:00:00 AM,22.142,,,,
434,07/15/15 05:05:00 AM,22.142,,,,
435,07/15/15 05:10:00 AM,22.142,,,,
436,07/15/15 05:15:00 AM,22.142,,,,
437,07/15/15 05:20:00 AM,22.142,,,,
438,07/15/15 05:25:00 AM,22.142,,,,
439,07/15/15 05:30:00 AM,22.142,,,,
440,07/15/15 05:35:00 AM,22.142,,,,
441,07/15/15 05:40:00 AM,22.142,,,,
442,07/15/15 05:45:00 AM,22.142,,,,
443,07/15/15 05:50:00 AM,22.142,,,,
444,07/15/15 05:55:00 AM,22.142,,,,
445,07/15/15 06:00:00 AM,22.142,,,,
446,07/15/15 06:05:00 AM,22.238,,,,
447,07/15/15 06:10:00 AM,22.238,,,,
448,07/15/15 06:15:00 AM,22.238,,,,
449,07/15/15 06:20:00 AM,22.238,,,,
450,07/15/15 06:25:00 AM,22.238,,,,
451,07/15/15 06:30:00 AM,22.238,,,,
