"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage"
"bd507abb-29c1-46af-bcb8-f098de01241d","316573","Birk - A9 (TANK 2)","10/11/2019 12:13 PM","14.3","14.3° C","100","14.3","0","900142","False","85","3.68"
"ec6ecf9e-2802-47b1-a245-c06ffe7d7043","316573","Birk - A9 (TANK 2)","10/11/2019 11:44 AM","14.4","14.4° C","100","14.4","0","900142","False","93","3.67"
"f79558ee-c2c0-4dc3-b3e7-26d244cb858a","316573","Birk - A9 (TANK 2)","10/11/2019 11:14 AM","14.2","14.2° C","100","14.2","0","900142","False","85","3.67"
"702c3f64-b7f7-4496-b3c3-fa6e0bc736f4","316573","Birk - A9 (TANK 2)","10/11/2019 10:44 AM","14.1","14.1° C","100","14.1","0","900142","False","84","3.68"
"5dd30b1a-806c-4bae-8b85-bb49f0b01dcd","316573","Birk - A9 (TANK 2)","10/11/2019 10:14 AM","14.3","14.3° C","100","14.3","0","900142","False","80","3.67"
"6e28cac2-0518-45ad-bf1f-5f1b5776268a","316573","Birk - A9 (TANK 2)","10/11/2019 9:45 AM","14.3","14.3° C","100","14.3","0","900142","False","78","3.68"
"e321029e-352f-4f7c-a837-0bf49c960ea7","316573","Birk - A9 (TANK 2)","10/11/2019 9:15 AM","14.3","14.3° C","100","14.3","0","900142","False","81","3.67"
"c92619b6-8da1-4ec3-812c-900a308896a8","316573","Birk - A9 (TANK 2)","10/11/2019 8:45 AM","14.5","14.5° C","100","14.5","0","900142","False","90","3.67"
"b9f0507f-5281-4923-96a3-506006730d1b","316573","Birk - A9 (TANK 2)","10/11/2019 8:15 AM","14.2","14.2° C","100","14.2","0","900142","False","77","3.68"
"c4fc4364-639b-452a-8a77-6f562a0631c5","316573","Birk - A9 (TANK 2)","10/11/2019 7:45 AM","14.3","14.3° C","100","14.3","0","900142","False","84","3.69"
"f85ed98d-3d95-409b-88a3-039b1864ccc4","316573","Birk - A9 (TANK 2)","10/11/2019 7:16 AM","14.4","14.4° C","100","14.4","0","900142","False","86","3.68"
"73fc6bc5-3aba-40fa-a8b4-835d2075edfc","316573","Birk - A9 (TANK 2)","10/11/2019 6:46 AM","14.4","14.4° C","100","14.4","0","900142","False","94","3.68"
"87df125e-ea90-4bab-a953-6e3662c2652d","316573","Birk - A9 (TANK 2)","10/11/2019 6:16 AM","14.6","14.6° C","100","14.6","0","900142","False","84","3.69"
"7292fcf8-dfa2-4678-b48a-030d63e3450c","316573","Birk - A9 (TANK 2)","10/11/2019 5:46 AM","14.1","14.1° C","100","14.1","0","900142","False","80","3.69"
"ba46334d-2d83-428d-8cfb-4ad1083eb7a9","316573","Birk - A9 (TANK 2)","10/11/2019 5:16 AM","14.3","14.3° C","100","14.3","0","900142","False","78","3.68"
"97afd68a-e4e0-4685-bd74-106c1f66a951","316573","Birk - A9 (TANK 2)","10/11/2019 4:47 AM","14.3","14.3° C","100","14.3","0","900142","False","85","3.67"
"f026f2ab-50c8-4ebb-8e84-cf7cd99a0816","316573","Birk - A9 (TANK 2)","10/11/2019 4:17 AM","14.4","14.4° C","100","14.4","0","900142","False","85","3.67"
"6c060418-3ce6-431b-946c-3ce7600991bc","316573","Birk - A9 (TANK 2)","10/11/2019 3:47 AM","14.5","14.5° C","100","14.5","0","900142","False","85","3.69"
"9030c056-04da-4709-8275-87652325fd96","316573","Birk - A9 (TANK 2)","10/11/2019 3:18 AM","14.1","14.1° C","100","14.1","0","900142","False","78","3.68"
"dfb7ea1f-5a32-4e18-95d3-3d83ed791bcd","316573","Birk - A9 (TANK 2)","10/11/2019 2:48 AM","14.3","14.3° C","100","14.3","0","900142","False","88","3.69"
"e846a921-5590-4c37-b2a7-4692f0b8991a","316573","Birk - A9 (TANK 2)","10/11/2019 2:18 AM","14.3","14.3° C","100","14.3","0","900142","False","81","3.68"
"5b51545c-3856-43a1-9da8-701812419678","316573","Birk - A9 (TANK 2)","10/11/2019 1:48 AM","14.3","14.3° C","100","14.3","0","900142","False","82","3.67"
"b250ea7f-86af-4d25-a29a-0219b97c1517","316573","Birk - A9 (TANK 2)","10/11/2019 1:18 AM","14.4","14.4° C","100","14.4","0","900142","False","78","3.67"
"578df363-356a-4c20-82d5-23f421358c2d","316573","Birk - A9 (TANK 2)","10/11/2019 12:49 AM","14.5","14.5° C","100","14.5","0","900142","False","78","3.68"
"ffd9036a-e134-4962-90fc-9edc5b7b391a","316573","Birk - A9 (TANK 2)","10/11/2019 12:19 AM","14.1","14.1° C","100","14.1","0","900142","False","78","3.69"
"c2ef3e6c-cc5c-4a28-8ce7-3be721925933","316573","Birk - A9 (TANK 2)","10/10/2019 11:49 PM","14.3","14.3° C","100","14.3","0","900142","False","94","3.69"
"d08c7df8-3eef-426a-9986-e59d8da061cf","316573","Birk - A9 (TANK 2)","10/10/2019 11:19 PM","14.3","14.3° C","100","14.3","0","900142","False","81","3.69"
"ea64bd43-5396-4e11-ae72-ce57417348a3","316573","Birk - A9 (TANK 2)","10/10/2019 10:49 PM","14.3","14.3° C","100","14.3","0","900142","False","77","3.67"
"bd361184-e7c2-4192-bcb3-9a16c76b4f6e","316573","Birk - A9 (TANK 2)","10/10/2019 10:20 PM","14.3","14.3° C","100","14.3","0","900142","False","86","3.67"
"1b3a58c6-00c7-45c2-a9e1-b6575121d888","316573","Birk - A9 (TANK 2)","10/10/2019 9:50 PM","14.4","14.4° C","100","14.4","0","900142","False","85","3.67"
"0f7dd0ee-e3e1-491a-a352-85228b7155cf","316573","Birk - A9 (TANK 2)","10/10/2019 9:20 PM","14.4","14.4° C","100","14.4","0","900142","False","78","3.69"
"664acea1-b6aa-40fa-9aaf-e017b75776cf","316573","Birk - A9 (TANK 2)","10/10/2019 8:50 PM","14.5","14.5° C","100","14.5","0","900142","False","77","3.68"
"d1df8d68-736f-4def-a797-db92803ebb32","316573","Birk - A9 (TANK 2)","10/10/2019 8:21 PM","14.1","14.1° C","100","14.1","0","900142","False","82","3.67"
"ace51aa1-1715-4340-a466-7b8a7ab418ad","316573","Birk - A9 (TANK 2)","10/10/2019 7:51 PM","14.2","14.2° C","100","14.2","0","900142","False","96","3.67"
"76aeb3e7-6b97-403f-ba45-269d32da1de0","316573","Birk - A9 (TANK 2)","10/10/2019 7:21 PM","14.2","14.2° C","100","14.2","0","900142","False","100","3.67"
"7461f28e-6e59-4316-acb1-4f93c5dc8f99","316573","Birk - A9 (TANK 2)","10/10/2019 6:51 PM","14.3","14.3° C","100","14.3","0","900142","False","97","3.68"
"cab05449-0e55-4d0a-be1d-37fea0ef62d8","316573","Birk - A9 (TANK 2)","10/10/2019 6:21 PM","14.3","14.3° C","100","14.3","0","900142","False","96","3.67"
"7dca24b2-8efc-43c7-87ed-99b24ca0e8d5","316573","Birk - A9 (TANK 2)","10/10/2019 5:52 PM","14.3","14.3° C","100","14.3","0","900142","False","100","3.68"
"09cff007-94b4-43aa-a53d-a10d7dc5e584","316573","Birk - A9 (TANK 2)","10/10/2019 5:22 PM","14.3","14.3° C","100","14.3","0","900142","False","100","3.66"
"bfcb95ed-b9fa-4925-a3d0-22cb0e50cead","316573","Birk - A9 (TANK 2)","10/10/2019 4:52 PM","14.4","14.4° C","100","14.4","0","900142","False","78","3.69"
"36d6decb-4a36-4b88-b41e-87724dbf5e3e","316573","Birk - A9 (TANK 2)","10/10/2019 4:22 PM","14.4","14.4° C","100","14.4","0","900142","False","97","3.68"
"05fcb3f4-2e8d-4946-ba8c-16582c8f9efd","316573","Birk - A9 (TANK 2)","10/10/2019 3:52 PM","14.5","14.5° C","100","14.5","0","900142","False","94","3.67"
"43ebd2da-0619-4d59-b232-b40a4d347ad3","316573","Birk - A9 (TANK 2)","10/10/2019 3:23 PM","14.5","14.5° C","100","14.5","0","900142","False","97","3.68"
"384d4bbf-b951-454b-b82a-8358cac3b577","316573","Birk - A9 (TANK 2)","10/10/2019 2:53 PM","14.5","14.5° C","100","14.5","0","900142","False","97","3.68"
"220ca2a8-9316-4ec9-9dc6-2dbb5f7f7fa2","316573","Birk - A9 (TANK 2)","10/10/2019 2:23 PM","14.5","14.5° C","100","14.5","0","900142","False","96","3.68"
"9c9f85a7-ea27-45de-833d-78bdb41c35ca","316573","Birk - A9 (TANK 2)","10/10/2019 1:54 PM","14.5","14.5° C","100","14.5","0","900142","False","86","3.69"
"8d2f2348-0d71-4fcc-b0d1-680a55fccfdb","316573","Birk - A9 (TANK 2)","10/10/2019 1:24 PM","14.5","14.5° C","100","14.5","0","900142","False","93","3.68"
"eb581c59-688b-44aa-92ec-2052efeed49b","316573","Birk - A9 (TANK 2)","10/10/2019 12:54 PM","14.4","14.4° C","100","14.4","0","900142","False","82","3.68"
"6184cd49-149b-4e7e-81af-1979c8f7e551","316573","Birk - A9 (TANK 2)","10/10/2019 12:24 PM","14.4","14.4° C","100","14.4","0","900142","False","81","3.68"
"044ebd95-603d-4492-8e19-8d091bdd2352","316573","Birk - A9 (TANK 2)","10/10/2019 11:54 AM","14.5","14.5° C","100","14.5","0","900142","False","88","3.69"
"7f40d751-a33a-4e35-bbbd-18213c9fb47e","316573","Birk - A9 (TANK 2)","10/10/2019 11:25 AM","14.4","14.4° C","100","14.4","0","900142","False","86","3.68"
"728f28b9-2b22-40aa-9779-e5da5e3fd115","316573","Birk - A9 (TANK 2)","10/10/2019 10:55 AM","14.4","14.4° C","100","14.4","0","900142","False","90","3.67"
"cf788ea8-6015-44da-9e7f-1a6d3983d3ec","316573","Birk - A9 (TANK 2)","10/10/2019 10:25 AM","14.4","14.4° C","100","14.4","0","900142","False","96","3.68"
"8dd36e58-9f20-4f9f-bbf4-a5f8e7841f3b","316573","Birk - A9 (TANK 2)","10/10/2019 9:55 AM","14.4","14.4° C","100","14.4","0","900142","False","100","3.69"
"9a9e1276-311e-4798-bbfa-669ea4034a8f","316573","Birk - A9 (TANK 2)","10/10/2019 9:26 AM","14.4","14.4° C","100","14.4","0","900142","False","98","3.67"
"0c7d593f-53c2-4f30-8265-ff005ac0d47b","316573","Birk - A9 (TANK 2)","10/10/2019 8:56 AM","14.4","14.4° C","100","14.4","0","900142","False","82","3.68"
"a9e00086-bb09-467b-bb11-0704e322dc16","316573","Birk - A9 (TANK 2)","10/10/2019 8:26 AM","14.4","14.4° C","100","14.4","0","900142","False","88","3.7"
"01f5a21a-4201-4a5c-8701-32f5be8f22cb","316573","Birk - A9 (TANK 2)","10/10/2019 7:56 AM","14.3","14.3° C","100","14.3","0","900142","False","82","3.68"
"3c4b6ecb-21f9-4aec-91a7-c5736879e353","316573","Birk - A9 (TANK 2)","10/10/2019 7:26 AM","14.3","14.3° C","100","14.3","0","900142","False","86","3.68"
"b274ff98-2ada-4551-9255-698f70adb441","316573","Birk - A9 (TANK 2)","10/10/2019 6:57 AM","14.3","14.3° C","100","14.3","0","900142","False","82","3.67"
"05c33384-66d3-4303-98b5-2e56317f7638","316573","Birk - A9 (TANK 2)","10/10/2019 6:27 AM","14.3","14.3° C","100","14.3","0","900142","False","84","3.68"
"1a32acca-c44d-4296-ac7d-4037d88ab77b","316573","Birk - A9 (TANK 2)","10/10/2019 5:57 AM","14.3","14.3° C","100","14.3","0","900142","False","82","3.68"
