DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,,,,
c8714383-6ae1-4be1-b792-ebcb089fd202,316572,OB2017Tank1,8/31/2017 17:08,21.9,21.9° C,100,,,7/21/2017 16:09,22.9
8d7f1f08-4f02-47fb-8b30-d22882d98d02,316572,OB2017Tank1,8/31/2017 16:58,21.9,21.9° C,100,,,7/21/2017 16:19,22.9
b638270f-de9d-45d5-8cee-2a5ed18960b1,316572,OB2017Tank1,8/31/2017 16:48,21.9,21.9° C,100,,,7/21/2017 16:29,23
37c34510-f278-4efb-b721-ed4c05c4dd50,316572,OB2017Tank1,8/31/2017 16:38,21.9,21.9° C,100,,,7/21/2017 16:39,23
701b27f7-103d-4ccd-8bd0-0c5788cd108d,316572,OB2017Tank1,8/31/2017 16:29,22,22° C,100,,,7/21/2017 16:49,23
6aa1958a-48d7-4ba6-bb00-ee0ad1ea3ec9,316572,OB2017Tank1,8/31/2017 16:19,21.9,21.9° C,100,,,7/21/2017 16:59,23
d4acae05-d652-4717-b050-025d8028fa6d,316572,OB2017Tank1,8/31/2017 16:09,21.9,21.9° C,100,,,7/21/2017 17:09,22.9
e405fd1e-b748-4a88-88cc-bb6f155e9cb8,316572,OB2017Tank1,8/31/2017 15:59,21.9,21.9° C,100,,,7/21/2017 17:18,23
ca3982b2-e339-4929-9eeb-4ed6606e617e,316572,OB2017Tank1,8/31/2017 15:49,21.9,21.9° C,100,,,7/21/2017 17:28,23
7e7ad76f-dc71-44da-bd07-a94568e90bc2,316572,OB2017Tank1,8/31/2017 15:39,21.9,21.9° C,100,,,7/21/2017 17:38,23
94b03f9b-fa19-4f72-90b2-f2e838652dba,316572,OB2017Tank1,8/31/2017 15:29,21.9,21.9° C,100,,,7/21/2017 17:48,23
9953f046-e414-4af7-a914-ebe2b9af4571,316572,OB2017Tank1,8/31/2017 15:19,21.9,21.9° C,100,,,7/21/2017 17:58,23
000f2a92-c7ca-48e3-a008-8e6635a24e97,316572,OB2017Tank1,8/31/2017 15:09,21.9,21.9° C,100,,,7/21/2017 18:08,23
ddbc819e-0b22-4dd6-b1fc-eb35ddfd17e3,316572,OB2017Tank1,8/31/2017 14:59,21.9,21.9° C,100,,,7/21/2017 18:18,23
2f0fca9e-2edb-47a1-a480-7a7bb2650a62,316572,OB2017Tank1,8/31/2017 14:49,21.8,21.8° C,100,,,7/21/2017 18:28,23
8b1a0e1d-0791-45c7-984f-0cf9e8852197,316572,OB2017Tank1,8/31/2017 14:39,21.8,21.8° C,100,,,7/21/2017 18:38,23
22c134e7-cf72-4b2a-9431-57247fc94b80,316572,OB2017Tank1,8/31/2017 14:30,21.8,21.8° C,100,,,7/21/2017 18:48,23
a163b4a1-b115-424d-be45-fb9fc6d1e7bf,316572,OB2017Tank1,8/31/2017 14:20,21.8,21.8° C,100,,,7/21/2017 18:57,23.1
90cfc1a4-918e-4153-b2f0-b56dae2e84a8,316572,OB2017Tank1,8/31/2017 14:10,21.8,21.8° C,100,,,7/21/2017 19:07,23.1
87e1b5e8-1eb9-44c5-9cdd-d746ddb65c92,316572,OB2017Tank1,8/31/2017 14:00,21.7,21.7° C,100,,,7/21/2017 19:17,23.1
1fb2883f-6841-4dbe-a5d2-792c01013cd9,316572,OB2017Tank1,8/31/2017 13:50,21.7,21.7° C,100,,,7/21/2017 19:27,23
4479aaad-23c3-4caa-9d2f-6ae72ee50619,316572,OB2017Tank1,8/31/2017 13:40,21.7,21.7° C,100,,,7/21/2017 19:37,23.1
ec9f9b73-dd3b-4863-ae32-0b2b20ed2de5,316572,OB2017Tank1,8/31/2017 13:30,21.7,21.7° C,100,,,7/21/2017 19:47,23.1
097c7cb4-e6b1-4a81-b4c5-9ba611c26f7d,316572,OB2017Tank1,8/31/2017 13:20,21.7,21.7° C,100,,,7/21/2017 19:57,23.1
31836b71-da0c-4dfd-91f2-27aa2e43b23c,316572,OB2017Tank1,8/31/2017 13:10,21.6,21.6° C,100,,,7/21/2017 20:07,23.1
4e3dc9bd-e958-4c23-ae37-d3a108bd8d43,316572,OB2017Tank1,8/31/2017 13:00,21.6,21.6° C,100,,,7/21/2017 20:16,23
c41c292b-a515-4e07-9b44-a7a19cc3a86b,316572,OB2017Tank1,8/31/2017 12:50,21.6,21.6° C,100,,,7/21/2017 20:26,23.1
512b86b1-7a54-48eb-a40e-a16e2cd5f34b,316572,OB2017Tank1,8/31/2017 12:40,21.6,21.6° C,100,,,7/21/2017 20:36,23.1
511b8c41-6898-4502-a539-e0a116af2c0b,316572,OB2017Tank1,8/31/2017 12:31,21.6,21.6° C,100,,,7/21/2017 20:46,23.1
e6f0cb38-01da-4126-9d47-430f94ea1fc7,316572,OB2017Tank1,8/31/2017 12:21,21.5,21.5° C,100,,,7/21/2017 20:56,23.1
00b3309a-d7d6-4f3c-afd2-38aadd71c9a3,316572,OB2017Tank1,8/31/2017 12:11,21.5,21.5° C,100,,,7/21/2017 21:06,23.1
344a79a2-61b5-42ec-a5ae-30aa859e16f0,316572,OB2017Tank1,8/31/2017 12:01,21.5,21.5° C,100,,,7/21/2017 21:16,23.1
47c8819d-2330-4698-a3bb-05c7207fd856,316572,OB2017Tank1,8/31/2017 11:51,21.5,21.5° C,100,,,7/21/2017 21:26,23.1
