DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery
dc0df86f-2ac4-4b8e-95ff-7e63c11a57b0,306913,OB2017Tank6,8/31/2017 23:52,16.8,16.8° C,100
86a69be7-703b-4acc-8d22-9a488e705cbc,306913,OB2017Tank6,8/31/2017 23:42,16.7,16.7° C,100
63af3e98-4cb6-4fb9-9d20-4a7efd038364,306913,OB2017Tank6,8/31/2017 23:32,16.7,16.7° C,100
870020ce-02ec-4eba-9a55-40c7638ed0c1,306913,OB2017Tank6,8/31/2017 23:22,16.7,16.7° C,100
3542df75-c644-4883-9dfc-9f6e3c865650,306913,OB2017Tank6,8/31/2017 23:12,16.6,16.6° C,100
9c90c9ca-1a87-48c2-ba56-d2a8d182d8c6,306913,OB2017Tank6,8/31/2017 23:02,16.5,16.5° C,100
5dd08756-72e4-4058-9b9d-454917d940ff,306913,OB2017Tank6,8/31/2017 22:52,16.5,16.5° C,100
90b6beff-8f2c-41ee-9cd1-e66539db61f2,306913,OB2017Tank6,8/31/2017 22:42,16.4,16.4° C,100
baf594ad-1ef7-4f56-8586-8464716f1c37,306913,OB2017Tank6,8/31/2017 22:32,16.3,16.3° C,100
12642b46-3699-413c-8be7-42829d1c0c54,306913,OB2017Tank6,8/31/2017 22:22,16.2,16.2° C,100
2d9ab553-8eef-4bc4-9544-911c7713d46e,306913,OB2017Tank6,8/31/2017 22:12,16.2,16.2° C,100
27933587-10ed-484a-b1f5-81acd92a7606,306913,OB2017Tank6,8/31/2017 22:02,16.2,16.2° C,100
d3d0d453-c33d-4374-8e1e-1552bdc87052,306913,OB2017Tank6,8/31/2017 21:52,16.1,16.1° C,100
f816c962-93f2-4e4c-b3c5-c0cfa5135122,306913,OB2017Tank6,8/31/2017 21:42,16,16° C,100
7c4339b4-7af3-45e9-87bf-6e117164ce92,306913,OB2017Tank6,8/31/2017 21:33,15.9,15.9° C,100
fc2380f8-8658-496d-b455-44aeeea63ee8,306913,OB2017Tank6,8/31/2017 21:23,15.9,15.9° C,100
adef26fd-87d5-49d8-86c7-cb6e9d03a917,306913,OB2017Tank6,8/31/2017 21:13,15.8,15.8° C,100
d057a312-04a0-4836-a688-a1d30cb49aa2,306913,OB2017Tank6,8/31/2017 21:03,15.7,15.7° C,100
5738b77d-246b-4198-9e87-773f891c1497,306913,OB2017Tank6,8/31/2017 20:53,15.6,15.6° C,100
63531151-318c-40d5-b740-1af67b0b887a,306913,OB2017Tank6,8/31/2017 20:43,15.5,15.5° C,100
3c615406-bd6f-4677-9d0e-58912473dab3,306913,OB2017Tank6,8/31/2017 20:33,15.4,15.4° C,100
24053d4f-d21e-4666-85a0-b846fbfca0de,306913,OB2017Tank6,8/31/2017 20:23,15.4,15.4° C,100
1fc108b6-b354-45b8-b9c4-5395d94037f5,306913,OB2017Tank6,8/31/2017 20:13,15.3,15.3° C,100
b61a41fd-561d-4607-b053-bc4e7d3ef742,306913,OB2017Tank6,8/31/2017 20:03,15.2,15.2° C,100
6acc7a90-8267-49d3-86dc-dd7ffb2819e9,306913,OB2017Tank6,8/31/2017 19:53,15.1,15.1° C,100
b2d2633e-f72c-4279-8c55-78ff8f7adcb3,306913,OB2017Tank6,8/31/2017 19:43,15,15° C,100
0a620bdf-61bb-4424-80d5-8b197a1853f0,306913,OB2017Tank6,8/31/2017 19:33,15,15° C,100
a2679f0f-064b-4bd6-ab9c-2f8a0f5bb8f2,306913,OB2017Tank6,8/31/2017 19:23,14.9,14.9° C,100
3a2bdb66-abf0-4aeb-97c0-1452a0b5d1c9,306913,OB2017Tank6,8/31/2017 19:13,14.9,14.9° C,100
b7d18634-1017-4897-baa2-8f0af1c4e84a,306913,OB2017Tank6,8/31/2017 19:03,14.8,14.8° C,100
1e90d5ba-1339-4be3-ae33-cbf97b4017d0,306913,OB2017Tank6,8/31/2017 18:53,14.7,14.7° C,100
401625a1-eca3-4fc9-80df-d532043ad940,306913,OB2017Tank6,8/31/2017 18:43,14.7,14.7° C,100
5097da9b-fb64-4e40-9361-78e5c8262981,306913,OB2017Tank6,8/31/2017 18:33,14.6,14.6° C,100
1d42fb47-fc69-4a12-b91e-ecd9b9d05e0c,306913,OB2017Tank6,8/31/2017 18:24,14.4,14.4° C,100
cd7e100a-1a4b-43ed-9b42-c143ba46b76b,306913,OB2017Tank6,8/31/2017 18:14,14.4,14.4° C,100
520c45b8-d848-4e79-b54a-d64dcd48b65d,306913,OB2017Tank6,8/31/2017 18:04,14.3,14.3° C,100
1618a5d9-129b-4095-a8a3-b01e828d3e3f,306913,OB2017Tank6,8/31/2017 17:54,14.2,14.2° C,100
581c8fc1-87c3-4649-b7c4-9bec87ad348a,306913,OB2017Tank6,8/31/2017 17:44,14.1,14.1° C,100
1f3a55e2-6f40-423d-b7f1-94f781dcd435,306913,OB2017Tank6,8/31/2017 17:34,14,14° C,100
9d7e2047-bc48-45d4-8197-f538516b3cb3,306913,OB2017Tank6,8/31/2017 17:24,14,14° C,100
0b2055d0-3a6e-4877-890c-4df69598bdeb,306913,OB2017Tank6,8/31/2017 17:14,13.9,13.9° C,100
4edd6a30-b5f5-4d65-9bcb-d64fd026c120,306913,OB2017Tank6,8/31/2017 17:04,13.7,13.7° C,100
c0dc4077-78d3-4d33-aba7-f25b5d3346ed,306913,OB2017Tank6,8/31/2017 16:54,13.7,13.7° C,100
9ac15642-67bd-4bc9-855f-483def0ce6b1,306913,OB2017Tank6,8/31/2017 16:44,13.5,13.5° C,100
