DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery
73d8f02f-bb6a-4b11-ab8e-93196afd3da1,316574,OB2017Tank3,8/31/2017 23:53,21.9,21.9° C,100
c79d278b-225d-4e21-abc3-e2be3fc4fa85,316574,OB2017Tank3,8/31/2017 23:43,21.9,21.9° C,100
a452982a-ba4a-452b-bf56-4c56e05048e2,316574,OB2017Tank3,8/31/2017 23:33,21.9,21.9° C,100
35560a4c-d8ac-4592-9e46-dbc4a7bcf364,316574,OB2017Tank3,8/31/2017 23:23,21.9,21.9° C,100
c0006650-50f4-4db9-b4ad-d0cd1bfcc434,316574,OB2017Tank3,8/31/2017 23:14,21.8,21.8° C,100
ed35ed08-7cf9-418a-b86f-e6419e6d8164,316574,OB2017Tank3,8/31/2017 23:04,21.9,21.9° C,100
f59e99d9-453f-472d-ba4d-36ac9f15c0b2,316574,OB2017Tank3,8/31/2017 22:54,21.9,21.9° C,100
29b151f5-fb82-4800-8df8-45f7fbf5f457,316574,OB2017Tank3,8/31/2017 22:44,21.9,21.9° C,100
fcaada57-2581-4fc1-8eeb-5e6e71fc2b02,316574,OB2017Tank3,8/31/2017 22:34,21.9,21.9° C,100
707ac841-013c-44bc-b7cb-6f5a971a8600,316574,OB2017Tank3,8/31/2017 22:24,21.9,21.9° C,100
400d8dd9-5fab-45e6-9226-386c7e96ee69,316574,OB2017Tank3,8/31/2017 22:14,21.9,21.9° C,100
8c7d5989-a01c-45b5-9a10-1b3535f76185,316574,OB2017Tank3,8/31/2017 22:04,21.9,21.9° C,100
a2afb20f-bfaa-44a1-bc84-4acc477b9a76,316574,OB2017Tank3,8/31/2017 21:54,21.9,21.9° C,100
28ad278a-58d3-4300-b8e8-0025b25de883,316574,OB2017Tank3,8/31/2017 21:44,21.9,21.9° C,100
75e0dd1e-3130-44f7-ac40-e4a81fcdc6b1,316574,OB2017Tank3,8/31/2017 21:34,21.9,21.9° C,100
30fd5572-ab9e-4dea-a82b-9a5556de1c85,316574,OB2017Tank3,8/31/2017 21:24,21.9,21.9° C,100
bef1a801-b644-46ab-b9a6-1026f7521a2a,316574,OB2017Tank3,8/31/2017 21:14,22,22° C,100
fa31e403-3cce-46f7-9a0c-754c7bf87243,316574,OB2017Tank3,8/31/2017 21:04,21.9,21.9° C,100
31079b8f-ec03-4d6e-a396-340284ae3b99,316574,OB2017Tank3,8/31/2017 20:54,22,22° C,100
778dccb8-9df6-4a3e-bef1-d801bf01ca14,316574,OB2017Tank3,8/31/2017 20:44,21.9,21.9° C,100
138472fe-af2c-4c7c-bfe0-a0c8d5a0100b,316574,OB2017Tank3,8/31/2017 20:34,21.9,21.9° C,100
a37a8944-fb36-42d9-867e-fe808df8166f,316574,OB2017Tank3,8/31/2017 20:25,22,22° C,100
bbd9f4e3-8459-43c9-8370-a365600bfcc6,316574,OB2017Tank3,8/31/2017 20:15,22,22° C,100
69b7a1e9-5a31-444d-84f3-adc0e95d6b0c,316574,OB2017Tank3,8/31/2017 20:05,22,22° C,100
84cbe1a2-5168-45ff-8d6c-10795df9c7d4,316574,OB2017Tank3,8/31/2017 19:55,21.9,21.9° C,100
f850d820-e9e4-4a65-affd-617a0cd04dfb,316574,OB2017Tank3,8/31/2017 19:45,22,22° C,100
13b2c08f-e54a-4d56-bc8e-792affbe998f,316574,OB2017Tank3,8/31/2017 19:35,22,22° C,100
f7c92e71-d81a-446e-99b0-a4d3a089df43,316574,OB2017Tank3,8/31/2017 19:25,22,22° C,100
b11bcc4f-6db0-4d37-94ab-2e3ff16bc380,316574,OB2017Tank3,8/31/2017 19:15,22,22° C,100
49a9fa07-1cfe-4b85-be16-db3aac7b963f,316574,OB2017Tank3,8/31/2017 19:05,21.9,21.9° C,100
d6e84655-2f7d-4a9e-a4f8-774119668f34,316574,OB2017Tank3,8/31/2017 18:55,22,22° C,100
9e8885e9-dc52-47b2-817e-517d212fe73a,316574,OB2017Tank3,8/31/2017 18:45,22,22° C,100
6d26005b-ec2e-4043-9e31-d898d7705a5e,316574,OB2017Tank3,8/31/2017 18:35,22,22° C,100
ff8c8af2-d3ea-4870-b7f1-e2b8b7c21ac0,316574,OB2017Tank3,8/31/2017 18:25,22,22° C,100
ffc55aa3-0b78-4c5e-b794-fd09fee2948e,316574,OB2017Tank3,8/31/2017 18:15,21.9,21.9° C,100
a39c1569-cd5c-4fb3-9973-657fb6a46add,316574,OB2017Tank3,8/31/2017 18:05,22,22° C,100
f7bacd37-24cc-4fb1-9d86-510b1babfa3e,316574,OB2017Tank3,8/31/2017 17:55,22,22° C,100
021c7f83-27b2-4851-903c-5e22a27a11e3,316574,OB2017Tank3,8/31/2017 17:45,21.9,21.9° C,100
75bf09df-b6d0-4384-a5c4-879f7df9af98,316574,OB2017Tank3,8/31/2017 17:35,21.9,21.9° C,100
d6a97621-4220-4b43-ba40-d7cb0638f8b6,316574,OB2017Tank3,8/31/2017 17:26,21.9,21.9° C,100
0409c3bf-5a8a-4b8b-a10d-616fdd1c6d8f,316574,OB2017Tank3,8/31/2017 17:16,21.9,21.9° C,100
766e5a75-486b-41bf-9530-b5b2c61bf3f7,316574,OB2017Tank3,8/31/2017 17:06,21.9,21.9° C,100
bf4e7fae-1890-48be-8cf6-98b5ad85baa5,316574,OB2017Tank3,8/31/2017 16:56,21.9,21.9° C,100
43236cfc-0bdb-4826-bcc5-11058d59b3ed,316574,OB2017Tank3,8/31/2017 16:46,21.9,21.9° C,100
17e927ab-ee6d-445e-b332-057d0eb0955a,316574,OB2017Tank3,8/31/2017 16:36,21.9,21.9° C,100
3371bb05-034d-4e91-a602-2ca455974fac,316574,OB2017Tank3,8/31/2017 16:26,21.9,21.9° C,100
4f04f59e-378b-4e08-8e96-34528c5b9eb2,316574,OB2017Tank3,8/31/2017 16:16,21.9,21.9° C,100
6508cf16-33cc-4644-9a25-3fa516357536,316574,OB2017Tank3,8/31/2017 16:06,21.9,21.9° C,100
77b8eab8-e981-4850-802d-f2d7cfa1d57c,316574,OB2017Tank3,8/31/2017 15:56,21.8,21.8° C,100
c8384fba-77a6-472d-a94e-6c5b526dfb49,316574,OB2017Tank3,8/31/2017 15:46,21.8,21.8° C,100
ace8e6c1-2cbe-410a-968f-fcd2cdcd8f2d,316574,OB2017Tank3,8/31/2017 15:36,21.8,21.8° C,100
7d13a623-e1c9-42a1-be0e-c89a4fb7feb4,316574,OB2017Tank3,8/31/2017 15:26,21.8,21.8° C,100
5b0c80be-56fe-4023-baf9-2725cfd69225,316574,OB2017Tank3,8/31/2017 15:16,21.8,21.8° C,100
3447e517-04fd-4aae-91e8-4fd047c14e58,316574,OB2017Tank3,8/31/2017 15:06,21.8,21.8° C,100
76896b9b-d27b-42d4-a515-513eb8c359ef,316574,OB2017Tank3,8/31/2017 14:56,21.8,21.8° C,100
a35df78c-d043-4e01-8ef4-247d42129a11,316574,OB2017Tank3,8/31/2017 14:46,21.8,21.8° C,100
132bbbfa-993d-42fa-ab74-ed5f3cff62fc,316574,OB2017Tank3,8/31/2017 14:36,21.8,21.8° C,100
8221f33f-a34f-4038-8f98-9bcf8007d114,316574,OB2017Tank3,8/31/2017 14:27,21.8,21.8° C,100
43988bea-0d7b-4660-bca2-dd4bf00365ff,316574,OB2017Tank3,8/31/2017 14:17,21.7,21.7° C,100
3cc71272-ba56-43fd-9542-b76c2405bcd5,316574,OB2017Tank3,8/31/2017 14:07,21.7,21.7° C,100
29e5d6b5-d89a-49cf-8c81-3f5d5e6a3a61,316574,OB2017Tank3,8/31/2017 13:57,21.7,21.7° C,100
86dec968-4ba3-468a-949e-2eb62e54bc36,316574,OB2017Tank3,8/31/2017 13:47,21.7,21.7° C,100
e53e49b6-fd71-4426-bc36-64b81698a005,316574,OB2017Tank3,8/31/2017 13:37,21.7,21.7° C,100
4b14e5da-7c80-46e5-8b64-53bfdba84988,316574,OB2017Tank3,8/31/2017 13:27,21.7,21.7° C,100
ae8a8f31-4adc-4064-830c-5c30353ac918,316574,OB2017Tank3,8/31/2017 13:17,21.6,21.6° C,100
9a0a6156-6046-499e-8693-042329d6516a,316574,OB2017Tank3,8/31/2017 13:07,21.6,21.6° C,100
cdcd3ad5-03d4-4a09-8078-ca5af2778837,316574,OB2017Tank3,8/31/2017 12:57,21.6,21.6° C,100
5a29d338-7000-493f-9ea8-5b4e41c6520a,316574,OB2017Tank3,8/31/2017 12:47,21.6,21.6° C,100
d41b6c7c-faf4-44df-9035-d4dcd94d8f53,316574,OB2017Tank3,8/31/2017 12:37,21.6,21.6° C,100
d9c84434-bec3-41d8-8ff3-d21a2af380a9,316574,OB2017Tank3,8/31/2017 12:27,21.5,21.5° C,100
8879399a-9adc-4668-ac7a-7faf38df1875,316574,OB2017Tank3,8/31/2017 12:17,21.6,21.6° C,100
48700473-9948-4c5c-a561-dcb7309504da,316574,OB2017Tank3,8/31/2017 12:07,21.6,21.6° C,100
8ebb6dc3-6ec4-426b-9c67-009578a95e64,316574,OB2017Tank3,8/31/2017 11:58,21.5,21.5° C,100
35d48637-fc69-47f8-b3e5-6d817ee57c57,316574,OB2017Tank3,8/31/2017 11:48,21.5,21.5° C,100
ab733e55-98f6-4507-8dde-daa31c194b2f,316574,OB2017Tank3,8/31/2017 11:38,21.5,21.5° C,100
a6db5ca8-cd68-43ea-8693-d2f2c7cde660,316574,OB2017Tank3,8/31/2017 11:28,21.5,21.5° C,100
6d958a0c-9e0e-4638-a427-e9050d78a016,316574,OB2017Tank3,8/31/2017 11:18,21.5,21.5° C,100
